,male,female,flames_result
2883,charles morgan,cynthia fuller,Enemy
2884,david holmes,ashley adams,Enemy
2885,chad hodges,julie hall,Affection
2886,peter cox,lauren harper,Love
2887,william tran,tamara kim,Friends
2888,wesley curry,lori williams,Affection
2889,ricky holt,hannah williams,Friends
2890,daniel berg,jessica webster,Marriage
2891,joseph barnes,deborah clayton,Enemy
2892,richard fox,dana bryant,Marriage
2893,brian mcdonald,molly logan,Affection
2894,david grant,erika conway,Marriage
2895,james boyle,samantha thornton,Marriage
2896, jason jones jr,angelica jones,Enemy
2897,brent mcdonald,tammy chambers,Enemy
2898,michael holt,krista reynolds,Affection
2899,dennis collins,jessica morgan dvm,Love
2900,richard ferguson,renee johnson,Affection
2901,anthony hoffman,andrea lawrence,Friends
2902,bryan andrews,jessica klein,Affection
2903,kyle palmer,michaela morris,Enemy
2904,jose reed,jacqueline jones,Love
2905,ryan king,taylor drake,Enemy
2906,brendan gill,amanda vang,Affection
2907,mitchell coleman,darlene khan,Love
2908,ryan sanchez,katherine boyd,Enemy
2909,gregory smith,jackie roberts,Love
2910,darren becker,anna hubbard dvm,Enemy
2911,mitchell thomas,sandra cabrera,Friends
2912,jeremy mullins,ann silva,Marriage
2913,jason wright,ashley bailey,Friends
2914,daniel jones,belinda wright,Enemy
2915,robert holland,alexa miles,Affection
2916,stephen weaver,stacey valentine md,Love
2917,william castro,karen haney,Affection
2918,tyler strong,sara henderson,Enemy
2919,larry perez,shawna gregory,Love
2920,daniel mills,julia bautista,Love
2921,david thompson,jessica rios,Affection
2922,wesley jones,cynthia rivera,Friends
2923,brian boyd,michelle walker,Affection
2924,richard palmer,sandra brown md,Affection
2925,brandon leon,rachel chapman,Love
2926,george gibbs,kristine taylor,Affection
2927,joshua bell,monica atkinson,Friends
2928,martin romero,april drake,Love
2929,andrew mooney,erin huerta,Love
2930,anthony cohen,margaret holland,Enemy
2931,roger smith,eileen king,Marriage
2932,jeffrey williams,brittany miller,Enemy
2933,brian combs,cassandra espinoza,Enemy
2934,joshua henry,tina allen,Affection
2935,derek thompson,debra gibbs,Friends
2936,matthew goodman,nicole brown,Friends
2937,jon li,jocelyn johnson,Marriage
2938,shawn cox,dawn avila,Enemy
2939,troy ramirez,mary singleton,Marriage
2940,anthony mcdonald,victoria hernandez,Marriage
2941,john miller,sarah farmer,Marriage
2942,robert peterson,dawn tapia,Friends
2943,bryan bradley,jennifer tran,Love
2944,jorge montes,stephanie wood,Love
2945,matthew weber,crystal alexander,Affection
2946,david reid,michelle parker,Marriage
2947,david anderson,sarah james,Marriage
2948,barry flores,jennifer tran,Marriage
2949,ricky higgins,kathy brown,Affection
2950,joshua smith,shelby lozano,Affection
2951,robert hooper,tanya dixon,Friends
2952,edward stark,victoria bennett,Affection
2953,derrick clarke,beth hale,Affection
2954,andrew nunez,elizabeth martinez,Marriage
2955,danny clark,anna kennedy,Friends
2956,richard moore,jennifer chambers,Enemy
2957,rick mcclain,dr kathleen johnson,Affection
2958,jacob strong,cynthia foster,Affection
2959,peter guerrero,sarah baker,Affection
2960,chase moore,michelle gordon,Affection
2961,brian garcia,donna kennedy,Friends
2962,ryan taylor,linda williams,Affection
2963,craig king,christine webb,Affection
2964,thomas dennis,rachel bonilla,Marriage
2965,dr gary ortiz jr,jessica davis,Affection
2966,jonathan jones,ann holmes,Friends
2967,jeffery golden,courtney taylor,Love
2968,alexander watson,jennifer mercer,Marriage
2969,nicholas jones,brenda roth,Marriage
2970,stephen cole,rebecca king,Affection
2971,jay nichols,rachel ramirez,Affection
2972,juan doyle,victoria martin,Friends
2973,austin fisher,jennifer johnson,Enemy
2974,george kelley,deborah wilson,Affection
2975,joshua robinson,brenda ward,Affection
2976,scott lopez,erika murray,Love
2977,james james,elizabeth moreno,Friends
2978, jacob howe dvm,karen nguyen,Love
2979,jeremy wright,tammy sparks,Affection
2980,mark bush,debbie beck,Affection
2981,dennis james,bridget robinson,Marriage
2982,michael lang,megan tran,Enemy
2983,robert howard,ashley lawrence,Marriage
2984,kenneth christian,lisa stone,Enemy
2985,michael cooper,tiffany parker,Affection
2986,thomas calderon,stephanie lopez,Affection
2987,christopher white,ashley thomas,Affection
2988,david roman,heidi harmon,Enemy
2989,roger johnston,shirley quinn,Affection
2990,jacob fox,amy moore,Love
2991,michael elliott,jennifer smith,Affection
2992,michael hall,robin robertson,Friends
2993,joshua gray,mary sanchez,Enemy
2994,mark barnes,amy mccormick,Love
2995,ryan herrera,elizabeth lucas,Marriage
2996,kyle hunt,lori todd,Affection
2997,john figueroa,claire dean,Love
2998,michael morris,sara sims,Friends
2999,michael bailey,samantha benton,Affection
3000,joshua keller,sandra allen,Affection
3001,mark williams,jenny graham,Friends
3002,matthew jenkins,andrea williams,Enemy
3003,daniel mason,danielle burton,Marriage
3004,lawrence davis,veronica king,Enemy
3005,jason higgins,lisa long,Enemy
3006,eric vaughan,taylor morris,Friends
3007,jeffrey roach,sheryl cunningham,Affection
3008,james garcia,vicki jones,Love
3009,christian jenkins,laura mann,Friends
3010,brian hicks,nicole thompson,Affection
3011,nathan roy,heather white,Enemy
3012,spencer burns,elizabeth blankenship,Marriage
3013,daniel elliott,kristina smith,Affection
3014,brian love,jessica jones,Love
3015,james alvarez,katherine hobbs,Friends
3016,kevin king,melissa neal,Marriage
3017,mitchell davidson, jennifer martinez,Marriage
3018,dillon howard,elizabeth torres,Affection
3019,sean cannon,tara short,Marriage
3020,ronald myers,janet miller,Enemy
3021,johnny johnson,jenna davis,Affection
3022,michael scott,lisa rush,Enemy
3023,joseph porter,christine ross,Enemy
3024,bryan taylor,christine norman,Marriage
3025,michael davis,michelle henson,Enemy
3026,willie mercer,molly dixon,Affection
3027,bryan frank,kimberly wilkerson,Affection
3028,richard jones,jessica parsons,Friends
3029,javier wallace,rachel carrillo,Friends
3030,wesley cameron,renee chen,Affection
3031,justin harrison,tiffany mitchell,Marriage
3032,michael ross,karen harrison,Marriage
3033,jesse caldwell,jaclyn foster,Affection
3034,james spears,bianca kelley,Marriage
3035,michael thomas,connie gomez,Marriage
3036,michael white,melissa morgan,Marriage
3037,christopher mitchell,donna leon,Love
3038,raymond lopez,sherry reed,Love
3039,craig moore,jennifer lopez,Marriage
3040,kenneth garrison,kathy baker,Enemy
3041,steven miller,rachel reed,Love
3042,eric norris,dr kimberly hood md,Friends
3043,mark jacobson,nicole harrington,Affection
3044,jose fernandez,annette moore,Affection
3045,joel odonnell,stephanie howell,Love
3046,marc crawford,deanna combs,Love
3047,thomas campbell,jasmine jones,Affection
3048,chad ball,brenda freeman,Affection
3049,matthew ferguson dds,nicole jackson,Affection
3050,william martin,melissa jones,Love
3051,dustin harris,joann kirby,Marriage
3052,mark cunningham,andrea moore,Marriage
3053,william henderson,linda le,Marriage
3054,joshua davis,stephanie medina,Affection
3055,christopher taylor,margaret anderson,Affection
3056,michael ray,michelle smith,Marriage
3057,brandon everett,deborah taylor,Marriage
3058,eric callahan,melinda bailey,Affection
3059,frank park,natalie reyes,Affection
3060,robert hall,diana williams,Marriage
3061,corey petersen jr,shelly romero,Love
3062,tracy bernard,marilyn macias,Love
3063,lawrence pearson,jennifer harrington,Affection
3064,anthony pierce,alicia lee,Love
3065,marcus williams,dawn liu dvm,Affection
3066,travis anderson,betty horn,Love
3067,stephen powell,jacqueline vega,Friends
3068,stephen bradley,ashley parsons,Enemy
3069,christopher hale,jessica davis,Affection
3070,john lewis,kelly graves,Affection
3071,bradley taylor,sheila jimenez,Friends
3072,john horn,courtney ramsey,Affection
3073,michael matthews,rebecca mills,Enemy
3074,david gilbert ii,melissa hansen,Friends
3075,eddie perez,jennifer huang,Affection
3076,clayton cook,ariana baker,Affection
3077,dean collins,morgan moon,Marriage
3078,willie collins,barbara sanchez,Love
3079,tim smith,donna lara,Affection
3080,christopher meyer,jennifer riggs,Friends
3081,dr gabriel andrews,shawna pacheco,Friends
3082,christian lang,victoria mcdonald,Enemy
3083,anthony ford,suzanne francis,Affection
3084,craig bullock,paula ramirez,Love
3085,richard reynolds, margaret dunn,Affection
3086,james nelson,kendra johnson,Marriage
3087,robert schmidt,natalie strong,Marriage
3088,cole james,tonya fitzpatrick,Friends
3089,david valencia,diane sanchez,Marriage
3090,john harper,debra gutierrez,Affection
3091,andrew ellis,amanda salas md,Enemy
3092,joshua richardson,jasmine dixon,Enemy
3093,david rasmussen,sophia nelson,Marriage
3094,garrett castillo,cathy paul,Marriage
3095,jeffrey mcdaniel,nancy ross,Affection
3096,kenneth smith md,alexandra braun,Love
3097,clarence garcia,shannon wagner,Enemy
3098,christopher stuart,donna ferrell,Affection
3099,trevor douglas,ms carmen turner dvm,Marriage
3100,frank howard,amy clark,Love
3101,timothy leblanc,stacey wheeler,Affection
3102,marcus johnson,dominique green,Friends
3103,matthew ortiz,emily simon,Affection
3104,gregory lewis,cynthia mcdaniel,Affection
3105,mark patterson,tina marshall,Affection
3106,timothy phelps,courtney manning,Marriage
3107,christopher smith,janice anderson,Friends
3108,jeffrey gonzales,shannon rogers,Enemy
3109,john riley,laura palmer,Affection
3110,christopher williams,dawn luna,Love
3111,martin hall,terri parker,Enemy
3112,joshua huff,kimberly curtis,Love
3113,brian smith,danielle ford,Affection
3114,martin vasquez,allison bryant,Marriage
3115,steven villanueva,brittany joseph,Affection
3116,kenneth smith,rhonda atkinson,Enemy
3117,jeremy ferguson,heather morrison,Love
3118,christopher parker,ashley salazar,Marriage
3119,thomas davis,paige foster,Love
3120,calvin hart,colleen gardner,Love
3121,michael king,victoria phelps,Marriage
3122,ian bennett,ashley cain,Affection
3123,anthony herrera,angela herrera,Friends
3124,mitchell vang,laura jensen,Marriage
3125,henry gibson,laurie gonzalez,Marriage
3126,randall webb,michele randall,Enemy
3127,jimmy parrish,tiffany moore,Marriage
3128,michael rogers,mary fitzgerald,Enemy
3129,jesse fox,megan hanson,Marriage
3130,kenneth munoz,savannah gonzalez,Affection
3131,nicholas warren,sarah miller,Marriage
3132,nathan avery,jessica green,Love
3133,matthew juarez,stacey patton,Affection
3134,michael ortega,eileen carr,Marriage
3135,phillip finley,karen sharp,Friends
3136,john meyer,allison stevens,Friends
3137,thomas spencer,anna rogers,Marriage
3138,clinton romero,suzanne davidson,Marriage
3139,phillip randall,angel deleon,Marriage
3140,brady johnston,olivia campbell,Love
3141,sean webster,margaret brown,Friends
3142,jay cline,donna underwood,Friends
3143,phillip bates,kathryn dudley,Friends
3144,michael brown,laura smith,Enemy
3145,jose walsh,lisa silva,Affection
3146,daniel daniels,valerie anderson,Enemy
3147,randy mejia,natalie moran,Marriage
3148,lucas mccoy,dr amanda curry,Love
3149,richard dennis,sarah walker,Love
3150,adam franklin,shelley rivera,Affection
3151,kevin galloway,deborah wyatt,Affection
3152,dennis bryant,michelle clark,Friends
3153,nathan adams,alyssa guerrero,Friends
3154,trevor blevins,jessica beard,Marriage
3155,chase short,connie graves,Affection
3156,robert logan,miss danielle miller phd,Friends
3157,christopher martin,rhonda wilkerson,Enemy
3158,david kelly,kelsey moore,Love
3159,jason cook,kimberly foley,Friends
3160,eric brandt,chelsea massey,Friends
3161,jeffrey nolan,tammy baker,Affection
3162,anthony hatfield,betty johns,Enemy
3163,nicholas ferguson,kathleen stokes,Love
3164,thomas evans md,natalie rodriguez,Friends
3165,corey watts,monique nelson,Marriage
3166,warren smith,heidi davis,Enemy
3167,david jones,sara gregory,Affection
3168,john green,tracy armstrong,Affection
3169,brandon adkins,tracy smith,Friends
3170,kevin harris,alexa thompson,Affection
3171,jason bradshaw,candace brown,Enemy
3172,robert decker,penny york,Enemy
3173,aaron rodriguez,kathleen bennett,Affection
3174,dustin rojas,michelle guerra,Friends
3175,daniel armstrong,sara bishop,Marriage
3176,christopher bowen,haley kim,Friends
3177,seth turner,jessica robinson,Affection
3178,robert ortega,destiny benson,Affection
3179,andrew larson,jessica marquez,Affection
3180,tyler chapman,haley jones,Affection
3181,jesse fowler,charlotte castillo,Affection
3182,steven gallegos,dr tina thomas phd,Affection
3183,christopher leach,cristina parker,Enemy
3184,joseph thornton,cindy wilcox,Friends
3185,alan alvarez,mary morales,Affection
3186,paul dean,cathy frey,Affection
3187,jeffrey dean,april french,Affection
3188,terry hudson,kiara lin,Friends
3189,michael rodriguez,vickie hess,Friends
3190,jeff ruiz,christina berry,Affection
3191,donald hall,rebecca sherman,Friends
3192,jared watson,elizabeth henderson,Affection
3193,daniel thompson,elizabeth lee,Love
3194,michael brewer,suzanne davidson,Love
3195,james le jr,christine miller,Marriage
3196,shawn byrd,christina lee,Marriage
3197,justin myers,sarah jones,Enemy
3198,jose garcia,angela jones,Marriage
3199,timothy webb,alexandria rodriguez,Enemy
3200,andrew gonzalez,jaime alvarez,Love
3201,luke hood,alyssa mcmahon,Friends
3202,charles hill,dawn watson,Friends
3203,robert malone,mary gardner,Affection
3204,nicholas wang,crystal davis,Marriage
3205,samuel williams,christine contreras,Friends
3206,christopher copeland,lauren wagner,Marriage
3207,roberto berger,amanda davis,Enemy
3208,antonio blair,samantha conrad,Enemy
3209,joseph kidd,janice jones,Enemy
3210,darren dawson,alexis hardy,Enemy
3211,eric murillo,tiffany martinez,Marriage
3212, michael baker md,kathryn valdez,Affection
3213, jacob hughes,brittany williams,Love
3214,juan johnson,alicia parker,Love
3215,jordan washington,melissa west,Friends
3216,arthur ball,lisa scott,Love
3217,bryce colon,donna lewis,Love
3218,jerry conner,deborah fowler,Affection
3219,jeffery evans,maria jimenez,Love
3220,kyle olson,patricia hull,Affection
3221,kerry clark,ann evans,Affection
3222,jose salazar,courtney martin,Friends
3223,john leon,andrea moreno,Enemy
3224,justin davis,amanda wang,Marriage
3225,anthony gibson,ruth cabrera,Marriage
3226,frank davis,erica dawson,Enemy
3227,joshua miller,karen wade,Affection
3228,joseph saunders,danielle kramer,Affection
3229,james hall,katherine watson,Affection
3230,brian henderson,kelly smith,Marriage
3231,rodney mccoy,jennifer edwards,Affection
3232,aaron rose,heather rodriguez,Love
3233,daniel weaver,mindy campos,Friends
3234,james morris,christine jones,Affection
3235,anthony brooks,amanda lee,Marriage
3236,dr cameron garrett,anne logan,Marriage
3237, michael montgomery iii, jenna stevens,Friends
3238,justin nicholson,kayla moody,Love
3239,kyle reynolds,lauren ray,Enemy
3240,james cole,amber mitchell,Affection
3241,matthew murray,sharon harris,Affection
3242,aaron hunt,christina sanchez,Love
3243,michael martin,april villarreal,Affection
3244,thomas ortiz,lori price,Marriage
3245,james wallace,cathy morris,Affection
3246,cory webb,alyssa hahn,Friends
3247,martin wilkins,ann quinn,Enemy
3248,joshua jimenez,christina mooney,Affection
3249,jonathan conner,donna turner,Friends
3250,john hughes,dr dana rice,Affection
3251,adrian butler,annette alexander,Enemy
3252,daniel adams,kathryn bailey,Marriage
3253,matthew khan,tammy harrison,Enemy
3254,marc mccoy,kristin olson,Friends
3255,danny carroll, mary larsen,Enemy
3256,samuel liu,teresa miller,Friends
3257,kenneth gray,samantha wells,Love
3258,james hill,melanie thompson,Enemy
3259,gary flowers,rebecca heath,Affection
3260,scott mendoza,suzanne cobb,Enemy
3261,david foster,danielle taylor,Affection
3262,daniel hale,angelica watson,Affection
3263,daniel everett,teresa howard,Affection
3264,william schwartz,brenda molina,Affection
3265,donald ballard,kimberly hickman,Friends
3266,robert hurley,erica mcdonald,Friends
3267,peter jimenez,patty brown,Affection
3268,jon olson,regina sanchez,Marriage
3269,michael callahan,rhonda buckley,Enemy
3270,howard west,tracy jennings,Affection
3271,samuel contreras,kayla molina,Affection
3272,james keller,mackenzie wilson,Love
3273,tyler perez,amanda garcia,Love
3274,michael pham,sherry smith,Marriage
3275,dustin fry,jamie mata,Friends
3276,stephen allen,jill barry,Marriage
3277,keith miller,linda jones,Affection
3278,sean miller,carol mcgee,Enemy
3279,anthony garrett,kelly reynolds,Affection
3280,zachary sanchez dds,breanna lawson,Affection
3281,matthew bautista,sheila williams,Enemy
3282,joshua flowers,natasha lee,Enemy
3283,nathan meyer,martha stuart,Enemy
3284,henry smith,stephanie horton,Marriage
3285,christopher vasquez,amber white,Affection
3286,kevin sampson,stacie joyce,Marriage
3287,christopher perez,heidi morrison,Affection
3288,alex floyd,carrie adams,Affection
3289,keith mccarthy,kaitlyn mercado,Marriage
3290,robert reese,sheila stone,Enemy
3291,johnny hurst,debbie kent,Friends
3292,alexander roberson,amy pittman,Enemy
3293,joseph ho,cynthia kerr,Friends
3294,luis mccullough,nancy mcdonald,Marriage
3295,richard martinez jr,dawn floyd,Love
3296,robert stone,robin hall,Love
3297,victor jacobs,kristy young,Affection
3298,james woods,barbara chan,Friends
3299,nicholas roman,lauren mitchell,Enemy
3300,scott woods,cheryl payne,Love
3301,matthew hickman,linda alvarez,Marriage
3302,matthew rojas,alicia ali,Friends
3303,henry burns,patricia reed,Marriage
3304,william hendrix,beth rodriguez,Affection
3305,brett harrington,laura robertson,Marriage
3306,luis gregory,linda gonzalez,Affection
3307,gregory ryan,emily perez,Love
3308,stephen carroll,dorothy murray,Affection
3309,maurice banks,lori hopkins,Affection
3310,michael garcia,kristi hickman,Affection
3311,george chavez,jane russell md,Friends
3312,nathan mcclain,brenda guerrero md,Love
3313,vincent lucas,megan ward,Affection
3314,daniel may,ashley hughes,Marriage
3315,luis solomon,carrie mcclain,Friends
3316,justin johnson,tiffany peterson,Affection
3317,thomas hurst,erin ware,Friends
3318,stephen mclaughlin, mary carpenter md,Friends
3319,michael rose,brianna cordova,Marriage
3320,joshua gaines,sandra smith,Enemy
3321,andrew mccormick,angela carter,Love
3322,michael scott,lori frank,Affection
3323,charles brown,phyllis smith,Marriage
3324,brandon shah,brooke rowland dds,Marriage
3325,ryan herrera,kayla wallace md,Friends
3326,nathan reeves,brandy nguyen,Love
3327,jacob cruz,danielle wyatt,Love
3328,mark robbins,dawn haley,Marriage
3329,colton bright,shelley gonzales,Friends
3330,peter lane,cheryl sheppard,Affection
3331,henry ramirez,megan pineda,Enemy
3332,james campbell,lisa baker,Affection
3333,lawrence ponce,christy ramos,Marriage
3334,martin brown,christy clark,Affection
3335,joshua craig,elizabeth herrera,Friends
3336,johnny kim,brianna miles,Affection
3337,james brock,melinda king,Affection
3338,shawn brooks,brenda meza,Affection
3339,corey hughes,jennifer mata,Affection
3340,charles fletcher,lori sullivan,Marriage
3341,francisco smith,kimberly gardner,Friends
3342,john mcclain,heather smith,Affection
3343,adam miller,rebecca obrien,Marriage
3344,jack neal,patricia maxwell,Marriage
3345,william cole,tara smith,Affection
3346,aaron heath,amber mullins,Affection
3347,ethan parrish,rebekah taylor,Enemy
3348,joseph young,jennifer wilson,Marriage
3349,jeremy green,dr maria pham,Friends
3350,vincent sanchez,mary frederick,Friends
3351,brian graham,amber martin,Enemy
3352,jose taylor,amanda wolf,Marriage
3353,richard parsons,brooke patterson,Love
3354,jason jacobs,kaitlyn ramirez,Love
3355,adrian lewis,julie king,Love
3356,peter luna,kim chaney,Marriage
3357,steven malone,rhonda mcfarland,Affection
3358,christopher wilson,anna white,Marriage
3359,garrett carter,rachel galvan,Affection
3360,michael bishop,megan davis,Marriage
3361,travis peters,michelle elliott,Marriage
3362,mark cox,amanda lang,Love
3363,thomas smith,stephanie stout,Enemy
3364,julian andrews,nicole farley,Enemy
3365,john young,gina robinson,Love
3366,mason henry,tina velasquez,Affection
3367,brian howell,lydia wilkins,Enemy
3368,tyler bennett,lindsey anderson,Marriage
3369,jeff ochoa,jillian johnson,Affection
3370,patrick case,patricia burch,Marriage
3371,jeffrey woods,angela baker,Affection
3372,michael kim,barbara cobb,Marriage
3373,ronald gonzales,debbie richard,Marriage
3374,michael morris,nicole hernandez,Affection
3375,ryan pacheco,tammy ramos,Marriage
3376,dustin bruce,joann miller,Affection
3377,scott cochran,tara reyes,Love
3378,kyle taylor,michelle johnson,Marriage
3379,jonathan thompson,connie lara,Affection
3380,damon howard,caroline riley,Affection
3381,curtis sherman,angela taylor,Affection
3382,john fields,melinda young,Enemy
3383,william smith,megan wright,Affection
3384,thomas johnson,traci williams,Friends
3385,david martinez,holly mills,Friends
3386,john jones,cynthia norris,Marriage
3387,charles lee,angela rodriguez,Marriage
3388,randy barber,cassandra black,Affection
3389,kurt lambert,jennifer patrick,Affection
3390,hector weber,jennifer schneider,Affection
3391,timothy hernandez,peggy parker,Friends
3392,nathan adams,brittany johnson,Enemy
3393,raymond mendoza,christine williams,Friends
3394,christopher holland,lauren kramer md,Friends
3395,charles johnson,christina stephens,Enemy
3396, charles manning ii,tracy day,Friends
3397,raymond cannon,ashley butler,Friends
3398,victor garcia,ann howard,Affection
3399,jesus watson,heather hall,Friends
3400,kevin villarreal,tina sims,Friends
3401,william wheeler,renee james,Marriage
3402,ronnie williams,jodi wagner,Enemy
3403,logan stewart,stacy wagner,Enemy
3404,mark wyatt,tammy clark,Friends
3405,scott reyes,marie norman,Affection
3406,aaron greer,elizabeth smith,Affection
3407,james bates,tiffany manning,Friends
3408,peter glenn,pamela burns,Affection
3409,reginald nolan,jennifer west,Affection
3410,paul owens,karen paul,Friends
3411,jesus martinez,teresa sanders,Marriage
3412,lawrence serrano,sharon carey,Enemy
3413,steven walker,tina brock,Marriage
3414,spencer clark,tracey fischer,Enemy
3415,michael mahoney,misty williams,Marriage
3416,richard hopkins,caitlin lee,Friends
3417,derrick gomez,elizabeth morales,Affection
3418,thomas sanders,mary sanders,Enemy
3419,michael miller,tina hancock,Affection
3420,dr kyle rivera,susan le,Affection
3421,thomas fowler,betty mcdaniel,Affection
3422,james walker,chelsea dixon,Affection
3423,ryan wilcox,loretta reynolds,Love
3424,william morales,teresa mckinney,Marriage
3425,mark jones,leslie gonzalez,Marriage
3426,richard smith,sheena webb,Marriage
3427,dustin burch,tracy scott,Love
3428,dwayne castillo,mary mcgee,Affection
3429,brandon stevens,christina smith,Affection
3430,jacob cox,colleen hooper,Affection
3431,benjamin morris,linda cohen,Marriage
3432,caleb reese,natalie chambers,Friends
3433,kevin johnson,erica lowe,Affection
3434,robert lewis phd,suzanne myers,Friends
3435,justin smith,jane harris,Enemy
3436,mark curtis,dr evelyn johnson md,Friends
3437,donald morris,sarah lutz,Marriage
3438,joseph thompson,ashley ferguson,Affection
3439,edward burton,kathleen rosario,Love
3440,timothy brock,monica stout,Enemy
3441,christopher schwartz,sharon wright,Enemy
3442,kenneth burton,dana anderson,Affection
3443,kevin barrett,michele oneill,Marriage
3444,ronald wu,melissa hayes,Marriage
3445,eric hicks,lacey washington,Affection
3446,michael kim,sharon fields,Marriage
3447,jose skinner,linda clayton,Marriage
3448,paul hood,lisa villarreal,Affection
3449,ronald melton,shelly reyes dvm,Affection
3450,timothy mcintyre,elizabeth roberts,Affection
3451,thomas martinez ii,jill mercado,Marriage
3452,brian craig,joanna carey,Affection
3453,john baker,julia marshall,Affection
3454,john cortez,angela wang,Marriage
3455,michael castillo,andrea thornton,Marriage
3456,jordan williams,barbara guerrero,Friends
3457,edward esparza,jessica garrett,Marriage
3458,michael reynolds,julia weaver,Affection
3459,john perez,melanie griffin,Friends
3460,david thomas,donna sanchez,Love
3461,jonathan oliver,jennifer miller,Enemy
3462,david grant,jessica hobbs,Affection
3463,robert vasquez,michelle scott,Marriage
3464,kenneth mitchell,laurie hart,Love
3465,james velazquez,karla sims,Affection
3466,todd mcbride,deborah smith,Friends
3467,keith harrison,erin martinez,Enemy
3468,samuel dorsey,beverly douglas,Enemy
3469,sean peterson,erica schneider,Enemy
3470,daniel lin,christine johnson,Friends
3471,james elliott,diana west,Affection
3472,nicholas davis,jennifer higgins,Friends
3473,brendan nelson,angel walters,Marriage
3474,alfred parker,tiffany hawkins,Affection
3475,mark walton,andrea james,Love
3476,jeffrey moore,donna jones,Affection
3477,frank mendez,lisa gonzalez,Marriage
3478,jonathan walton,tammy wells,Affection
3479,david duncan,linda frederick,Enemy
3480,dennis miranda,jordan griffin,Affection
3481,tom clark,julie stevens,Friends
3482,adam jordan,amy evans,Enemy
3483,steven klein,allison arnold,Affection
3484,jeffrey harris,lori peterson dvm,Marriage
3485, william long,terri levy,Affection
3486,kenneth davies,jennifer salinas dds,Affection
3487,john kent,julie holden,Enemy
3488,david humphrey,kellie hall,Affection
3489,peter cain,sabrina brown,Love
3490,joshua johnson,jennifer ortiz,Marriage
3491,james bailey,linda thomas,Love
3492,jordan palmer,theresa reynolds,Affection
3493,michael valdez,gina glenn,Marriage
3494,austin clark jr,tara johnson,Enemy
3495,william carter,andrea stanley,Love
3496,andrew graham,dana castillo,Friends
3497,francisco miller,cynthia juarez,Affection
3498,steven schneider,patricia martinez,Marriage
3499,gregory brown,wendy bush,Marriage
3500,michael scott,rachel perez,Love
3501,jeffrey jackson,holly farmer,Love
3502,anthony green,kristin blackwell,Marriage
3503,donald johnson,kristina downs,Enemy
3504,steven young,holly may,Friends
3505,david rose,meredith ortiz,Affection
3506,matthew sanchez,sara wells,Marriage
3507,darren woodard,sherry cook,Affection
3508,arthur rogers,jennifer esparza,Affection
3509,john walter,kristine joseph,Enemy
3510,brett sanchez, diana finley dds,Friends
3511,michael gibbs,debbie miranda,Enemy
3512,ryan johnson,nicole graham,Enemy
3513,mark dyer,marisa carlson,Marriage
3514,michael smith,danielle schroeder,Enemy
3515,phillip vincent,wendy vazquez,Friends
3516,adam thomas,jamie mcintosh,Enemy
3517,nicholas best,sarah novak,Enemy
3518,patrick grant,sherri medina,Affection
3519,dustin sparks,stephanie smith,Enemy
3520,jamie swanson,rebekah delgado,Friends
3521,allen jones,courtney bruce,Friends
3522,adam parker dvm,amy bradford,Affection
3523, christopher west dvm,christy pruitt,Marriage
3524,alex adams,katherine miller,Marriage
3525,james hendricks,beth thompson,Affection
3526,thomas glover,sarah camacho,Enemy
3527,ryan harris,kimberly miller,Friends
3528,matthew shah,danielle burnett,Marriage
3529,john perkins,janet carroll,Marriage
3530,john pollard md,kimberly vasquez,Love
3531,rodney guerrero,karen hughes,Enemy
3532,robert perez,yvonne yates,Affection
3533,ricky howard,valerie cox,Love
3534,ronald richardson,jennifer turner,Affection
3535,andrew daniel,allison martin,Enemy
3536,phillip wheeler,briana torres,Marriage
3537,scott evans,susan maldonado,Love
3538,james roberts,andrea washington,Marriage
3539,kevin howell,nicole wu,Friends
3540,corey brooks,lindsay curtis,Friends
3541,mark bailey,rachel miller,Friends
3542,clarence hamilton,sharon nichols,Marriage
3543,todd smith,teresa rojas,Affection
3544,james morrison,emily price,Marriage
3545,eric kim,leslie wilson,Affection
3546,matthew roberts,kimberly stanton,Affection
3547,david simmons,diane austin,Enemy
3548,jason martinez,brenda davis,Enemy
3549,matthew hale,sophia miller,Enemy
3550,ryan smith,patricia palmer,Enemy
3551,gary leonard,sylvia harris,Marriage
3552,edward palmer,brittany anderson,Friends
3553,jason bennett,janet taylor,Friends
3554,carl fernandez,michelle kennedy,Marriage
3555,christopher baker,cynthia myers,Affection
3556,michael hughes dds,leslie rivera,Affection
3557,drew todd,lauren chambers,Friends
3558,peter peters,lisa mills,Affection
3559,david douglas,crystal soto,Affection
3560,anthony anderson,monica barker,Love
3561,craig jones,denise harrell,Affection
3562,brett strong,shannon martinez,Affection
3563, tanner church,samantha potter,Enemy
3564,david williams,jessica phillips,Marriage
3565,gregory mccoy,laurie edwards,Friends
3566,david davis,megan torres,Friends
3567,matthew thompson,elizabeth cooley,Affection
3568,troy gonzalez,kaitlyn barber,Enemy
3569,jeffery rodriguez,melissa wood,Friends
3570,donald lewis, kimberly smith,Affection
3571,william hernandez,elizabeth miller,Marriage
3572,nathan mcdaniel,maria weiss,Affection
3573,mark jennings,christina newton,Love
3574,corey morgan,courtney brady,Marriage
3575,jonathan sexton,leslie rangel,Affection
3576,robert solomon,tracey melendez,Marriage
3577,andrew david,susan mayo,Friends
3578,david graham,courtney ibarra,Friends
3579,scott guzman,jodi mendoza,Marriage
